Date, Open, High, Low, Close, Volume
02/17/16, 699.00, 709.75, 691.38, 708.40, 2492634
02/16/16, 692.98, 698.00, 685.05, 691.00, 2520021
02/12/16, 690.26, 693.75, 678.60, 682.40, 2141373
02/11/16, 675.00, 689.35, 668.8675, 683.11, 3024043
02/10/16, 686.86, 701.31, 682.13, 684.12, 2638007
02/09/16, 672.32, 699.90, 668.77, 678.11, 3608914
02/08/16, 667.85, 684.03, 663.06, 682.74, 4247355
02/05/16, 703.87, 703.99, 680.15, 683.57, 5105725
02/04/16, 722.81, 727.00, 701.86, 708.01, 5168709
02/03/16, 770.22, 774.50, 720.50, 726.95, 6171019
02/02/16, 784.50, 789.8699, 764.65, 764.65, 6348126
02/01/16, 750.46, 757.86, 743.27, 752.00, 5139157
01/29/16, 731.53, 744.9899, 726.80, 742.95, 3474319
01/28/16, 722.22, 733.69, 712.35, 730.96, 2676397
01/27/16, 713.67, 718.235, 694.39, 699.99, 2194227
01/26/16, 713.85, 718.28, 706.48, 713.04, 1331691
01/25/16, 723.58, 729.68, 710.01, 711.67, 1711716
01/22/16, 723.60, 728.13, 720.121, 725.25, 2011797
01/21/16, 702.18, 719.19, 694.46, 706.59, 2412211
01/20/16, 688.61, 706.85, 673.26, 698.45, 3444962
01/19/16, 703.30, 709.98, 693.4101, 701.79, 2268078
01/15/16, 692.29, 706.74, 685.37, 694.45, 3608109
01/14/16, 705.38, 721.925, 689.10, 714.72, 2225768
01/13/16, 730.85, 734.74, 698.61, 700.56, 2501730
01/12/16, 721.68, 728.75, 717.3165, 726.07, 2024509
01/11/16, 716.61, 718.855, 703.54, 716.03, 2090621
01/08/16, 731.45, 733.23, 713.00, 714.47, 2450857
01/07/16, 730.31, 738.50, 719.06, 726.39, 2963741
01/06/16, 730.00, 747.18, 728.92, 743.62, 1947034
01/05/16, 746.45, 752.00, 738.64, 742.58, 1950691
01/04/16, 743.00, 744.06, 731.2577, 741.84, 3272776
12/31/15, 769.50, 769.50, 758.34, 758.88, 1500923
12/30/15, 776.60, 777.60, 766.90, 771.00, 1293521
12/29/15, 766.69, 779.98, 766.43, 776.60, 1765012
12/28/15, 752.92, 762.99, 749.52, 762.51, 1515716
12/24/15, 749.55, 751.35, 746.62, 748.40, 527223
12/23/15, 753.47, 754.21, 744.00, 750.31, 1566726
12/22/15, 751.65, 754.85, 745.53, 750.00, 1365520
12/21/15, 746.13, 750.00, 740.00, 747.77, 1525703
12/18/15, 746.51, 754.13, 738.15, 739.31, 3148743
12/17/15, 762.42, 762.68, 749.00, 749.43, 1553418
12/16/15, 750.00, 760.59, 739.435, 758.09, 1993251
12/15/15, 753.00, 758.08, 743.01, 743.40, 2666229
12/14/15, 741.79, 748.73, 724.17, 747.77, 2421236
12/11/15, 741.16, 745.71, 736.75, 738.87, 2224410
12/10/15, 752.85, 755.85, 743.83, 749.46, 1988380
12/09/15, 759.17, 764.23, 737.001, 751.61, 2699990
12/08/15, 757.89, 764.80, 754.20, 762.37, 1829475
12/07/15, 767.77, 768.73, 755.09, 763.25, 1812314
12/04/15, 753.10, 768.49, 750.00, 766.81, 2757283
12/03/15, 766.01, 768.995, 745.63, 752.54, 2590641
12/02/15, 768.90, 775.955, 758.96, 762.38, 2230373
12/01/15, 747.11, 768.95, 746.70, 767.04, 2134621
11/30/15, 748.81, 754.93, 741.27, 742.60, 2097624
11/27/15, 748.46, 753.41, 747.49, 750.26, 838528
11/25/15, 748.14, 752.00, 746.06, 748.15, 1122224
11/24/15, 752.00, 755.279, 737.63, 748.28, 2334197
11/23/15, 757.45, 762.7075, 751.82, 755.98, 1415385
11/20/15, 746.53, 757.92, 743.00, 756.60, 2213284
11/19/15, 738.74, 742.00, 737.43, 738.41, 1327879
11/18/15, 727.58, 741.41, 727.00, 740.00, 1684259
11/17/15, 729.29, 731.845, 723.027, 725.30, 1510903
11/16/15, 715.60, 729.49, 711.33, 728.96, 1905893
11/13/15, 729.17, 731.15, 716.73, 717.00, 2075504
